tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
53.793,20.005150576641153,20.03742048706785,0.5302660142301806,9.586911063766248,0.5792181178299162,0.2197044882831763,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
54.227,20.00174030287429,20.061255777147107,0.5287056525265135,9.585423508831607,0.5804426486280055,0.20888153959934624,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
54.696,20.000174740033238,20.0715738024333,0.5270072065254648,9.58478460144247,0.580112454226443,0.1917355878321218,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
55.264,19.99651668261616,20.0916498403378,0.5219257772358668,9.58333305752621,0.5857345010874181,0.1317667227084616,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
55.777,19.993557609730246,20.10382068999582,0.5168728894439013,9.582216675167702,0.5912506256349714,0.08143341986541758,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
56.26,19.99144484126778,20.096954694903342,0.5000728167938239,9.582002642936352,0.596219807325146,0.06339693510246754,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
56.797,19.990658529898944,20.05282328966094,0.45913585488953523,9.584177012179255,0.6000175152724129,0.10955836866681251,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
57.165,19.990500158861437,20.032083371081978,0.4396221535880425,9.586136291839827,0.6023606338364758,0.1166802576053597,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
57.673,19.990456474224313,20.02118732701126,0.4265295123047564,9.588188996333864,0.6059954745739871,0.10960041628486757,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
58.371,19.99131186398833,20.006566528337117,0.4085761282596033,9.592177940978544,0.6095121908283802,0.11852604496025076,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
58.726,19.991916560063885,19.99422602016259,0.394751851761609,9.595566599130528,0.6109161235865079,0.13509857473209586,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
59.237,19.994059688229513,19.983004455034138,0.37721913529256207,9.602472330312368,0.6103680454012571,0.15056422898894753,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
59.766,19.995064591732696,19.983783433001843,0.3694682106815933,9.607433653877633,0.611890108733426,0.14864494144622645,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
60.276,19.99610882241479,19.983853251228258,0.36281088789894983,9.61194491289713,0.6125206672387493,0.15337028784085863,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
60.778,19.99663079322732,19.98391107678019,0.3586995500829695,9.614814111681744,0.6136801899025011,0.15903727397541417,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
61.274,19.99800977207651,19.987542719127347,0.3509278858836193,9.621960634722242,0.6126672679926468,0.15809494061165408,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
61.661,19.998691608041565,19.990659973334363,0.3469105795338638,9.62628406037026,0.6125666065896801,0.1568191361859064,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
62.408,19.99910773361794,19.99438794489747,0.34137643306575277,9.632030690775721,0.6131005278284396,0.15712368505636415,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
62.694,19.999210785498875,19.996864217795487,0.3376543963997905,9.635985421049433,0.6133616782865112,0.1551090530853483,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
63.257,19.999390963457223,20.000563158445633,0.3316606088793227,9.64261006056526,0.6135249840837076,0.1512573465679332,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
63.99,19.9993318053079,20.00285730579592,0.3275916580459724,9.647184786472828,0.6141139836481905,0.1483375122765286,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
64.253,19.999084234577925,20.00411085653715,0.32233113381657097,9.652563408970469,0.6148536623000058,0.14618813477234469,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
64.922,19.999063248180324,20.00353639122772,0.31704384707902733,9.657583071516243,0.6151938112747,0.14654460753283363,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
65.348,19.99883135963742,20.003034589880162,0.3123780084252035,9.662188904305909,0.6159234290390813,0.14650155579357435,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
65.722,19.998518910907624,20.002679532018842,0.3080642030906766,9.66672199895977,0.6167956515701835,0.14595809081212505,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
66.28,19.998280431909997,20.00236849949881,0.3043099636349793,9.670918127966065,0.6177151264352813,0.14514162509642997,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
66.686,19.998100968273796,20.001863644914025,0.3000761291476506,9.675888247527995,0.6184920256122746,0.14538916064261462,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
67.326,19.997996527115898,20.000509453850878,0.29199709719085065,9.68615741865902,0.6195294698315581,0.14671431608040633,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
67.773,19.997791764867337,19.999893324760887,0.288077795554326,9.691552050747534,0.6205867511221057,0.14721054355500568,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
68.244,19.997784050154042,19.99980030394257,0.28587148943927054,9.695002261536638,0.6213138638867084,0.14701813240987904,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
68.692,19.997981124443385,19.999841316118744,0.2825259203981659,9.700741989568149,0.6216692881678331,0.14681928035954717,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
69.213,19.998475862940438,19.99982499020011,0.27665848057957326,9.711594564631985,0.6216038691265505,0.14689298437168405,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
69.681,19.998564626327106,19.999862971861592,0.2733298374177173,9.718172870030518,0.6222208274737758,0.1468673987545443,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
70.205,19.99868305100417,19.999912841197006,0.270927883220439,9.72321916854079,0.6226936383592104,0.14683757306967202,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
70.854,19.998690664601373,20.000012959591427,0.2679830586168266,9.729672764588846,0.6234419439721606,0.14671132391144062,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
71.202,19.99872006474923,20.000108053940895,0.2658406870681975,9.734635432172139,0.6237697629481641,0.1465323340122435,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
71.714,19.999009274801463,20.000224163087058,0.2621734279610895,9.743706236106089,0.6237425200856662,0.14633418061172246,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
72.197,19.99908923834623,20.00025558563952,0.2597606116427315,9.74992183732747,0.6240911425024138,0.14625472211253304,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
72.682,19.999081471657767,20.000287967572326,0.2584994260284748,9.753287195872874,0.6245320221309903,0.14612659887146862,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
